Date,Hostname (temp.),Hostname (Final),Success,Correct Hostname
12.06.2023 09:57:56:310 ,DOP-ESX-IXN022-DSSC,OP-ESX-IXN022,No,DOP-ESX-IXN022
12.06.2023 09:57:56:315 ,DOP-ESX-IXN024-DSSC,OP-ESX-IXN024,No,DOP-ESX-IXN024
12.06.2023 09:57:56:323 ,ce-esx-32-DSSC,ce-esx-32,Yes,ce-esx-32
12.06.2023 09:57:56:331 ,DOP-ESX-IXN030-DSSC,OP-ESX-IXN030,No,DOP-ESX-IXN030
12.06.2023 09:57:56:339 ,ESX-IX-2T-2A-29-DSSC,ESX-IX-2T-2A-29,Yes,ESX-IX-2T-2A-29
12.06.2023 09:57:56:349 ,ce-esx-ze-as33-12-DSSC,ce-esx-ze-as33-12,Yes,ce-esx-ze-as33-12
12.06.2023 09:57:56:362 ,DOP-ESX-IXN029-DSSC,OP-ESX-IXN029,No,DOP-ESX-IXN029
12.06.2023 09:57:56:374 ,DOP-BCK-IXN002-new,,N/A,DOP-BCK-IXN002-new
12.06.2023 09:57:56:388 ,ce-esx-fra16-5105-04-DSSC,ce-esx-fra16-5105-04,Yes,ce-esx-fra16-5105-04
12.06.2023 09:57:56:400 ,GTD-ESX-IXN004-DSSC,GTD-ESX-IXN004,Yes,GTD-ESX-IXN004
12.06.2023 09:57:56:411 ,ce-esx-fra16-5106-12-DSSC,ce-esx-fra16-5106-12,Yes,ce-esx-fra16-5106-12
12.06.2023 09:57:56:419 ,DOP-ESX-CYO011-DSSC,OP-ESX-CYO011,No,DOP-ESX-CYO011
12.06.2023 09:57:56:429 ,ce-esx-ze-aw32-04-DSSC,ce-esx-ze-aw32-04,Yes,ce-esx-ze-aw32-04
12.06.2023 09:57:56:437 ,DOP-ESX-CYO017-DSSC,OP-ESX-CYO017,No,DOP-ESX-CYO017
12.06.2023 09:57:56:448 ,ce-esx-fra6-2tb4-07-DSSC,ce-esx-fra6-2tb4-07,Yes,ce-esx-fra6-2tb4-07
12.06.2023 09:57:56:456 ,DOP-ESX-IXN038-DSSC,OP-ESX-IXN038,No,DOP-ESX-IXN038
12.06.2023 09:57:56:466 ,ce-esx-fra16-5106-18-DSSC,ce-esx-fra16-5106-18,Yes,ce-esx-fra16-5106-18
12.06.2023 09:57:56:475 ,ce-esx-ze-aw32-03-DSSC,ce-esx-ze-aw32-03,Yes,ce-esx-ze-aw32-03
12.06.2023 09:57:56:484 ,ce-esx-fra16-5106-04,,N/A,ce-esx-fra16-5106-04
12.06.2023 09:57:56:495 ,ce-esx-25-DSSC,ce-esx-25,Yes,ce-esx-25
12.06.2023 09:57:56:504 ,ce-esx-27-DSSC,ce-esx-27,Yes,ce-esx-27
12.06.2023 09:57:56:513 ,SIN-ESX-CYO02-DSSC,IN-ESX-CYO02,No,SIN-ESX-CYO02
12.06.2023 09:57:56:522 ,ce-esx-ze-as36-03,,N/A,ce-esx-ze-as36-03
12.06.2023 09:57:56:532 ,ce-esx-fra6-2tb3-08-DSSC, ce-esx-fra6-2tb3-08,Yes,ce-esx-fra6-2tb3-08
12.06.2023 09:57:56:542 ,ce-esx-fra16-5105-05-DSSC,ce-esx-fra16-5105-05,Yes,ce-esx-fra16-5105-05
12.06.2023 09:57:56:551 ,ce-esx-ze-as33-11-DSSC,ce-esx-ze-as33-11,Yes,ce-esx-ze-as33-11
12.06.2023 09:57:56:562 ,ce-esx-fra16-5106-10-new,,N/A,ce-esx-fra16-5106-10-new
12.06.2023 09:57:56:571 ,DOP-ESX-IXN039-DSSC,OP-ESX-IXN039,No,DOP-ESX-IXN039
12.06.2023 09:57:56:580 ,ce-esx-28-DSSC,ce-esx-28 ,Yes,ce-esx-28
12.06.2023 09:57:56:589 ,ce-esx-ze-as32-08-DSSC,ce-esx-ze-as32-08,Yes,ce-esx-ze-as32-08
12.06.2023 09:57:56:600 ,DOP-ESX-CYO039-DSSC,OP-ESX-CYO039,No,DOP-ESX-CYO039
12.06.2023 09:57:56:609 ,ce-esx-ze-as32-02-DSSC,ce-esx-ze-as32-02,Yes,ce-esx-ze-as32-02
12.06.2023 09:57:56:617 ,ce-esx-17-DSSC,ce-esx-17,Yes,ce-esx-17
12.06.2023 09:57:56:627 ,ce-esx-34-DSSC,ce-esx-34,Yes,ce-esx-34
12.06.2023 09:57:56:635 ,ce-esx-fra16-5105-15-DSSC,ce-esx-fra16-5105-15,Yes,ce-esx-fra16-5105-15
12.06.2023 09:57:56:645 ,ce-esx-ze-aw32-10-DSSC,ce-esx-ze-aw32-10,Yes,ce-esx-ze-aw32-10
12.06.2023 09:57:56:653 ,ce-esx-fra16-5106-15-DSSC,ce-esx-fra16-5106-15,Yes,ce-esx-fra16-5106-15
12.06.2023 09:57:56:666 ,ce-esx-ze-as32-06-DSSC,ce-esx-ze-as32-06,Yes,ce-esx-ze-as32-06
12.06.2023 09:57:56:676 ,LAB-ESX-MGMT-DSSC,LAB-ESX-MGMT,Yes,LAB-ESX-MGMT
12.06.2023 09:57:56:684 ,GTD-ESX-IXN001-DSSC,GTD-ESX-IXN001,Yes,GTD-ESX-IXN001
12.06.2023 09:57:56:693 ,ce-esx-ze-as32-10-DSSC,ce-esx-ze-as32-10,Yes,ce-esx-ze-as32-10
12.06.2023 09:57:56:703 ,dop-esx-dus012,,N/A,dop-esx-dus012
12.06.2023 09:57:56:712 ,DOP-ESX-IXN021-DSSC,OP-ESX-IXN021,No,DOP-ESX-IXN021
12.06.2023 09:57:56:722 ,ce-esx-fra6-2tb3-02-DSSC,ce-esx-fra6-2tb3-02,Yes,ce-esx-fra6-2tb3-02
12.06.2023 09:57:56:732 ,DOP-ESX-CYO038-DSSC,OP-ESX-CYO038,No,DOP-ESX-CYO038
12.06.2023 09:57:56:743 ,DOP-ESX-CYO010-DSSC,OP-ESX-CYO010,No,DOP-ESX-CYO010
12.06.2023 09:57:56:751 ,ce-esx-fra16-5106-19-DSSC,ce-esx-fra16-5106-19,Yes,ce-esx-fra16-5106-19
12.06.2023 09:57:56:764 ,DOP-BCK-LEV010,,N/A,DOP-BCK-LEV010
12.06.2023 09:57:56:775 ,DOP-ESX-IXN035-DSSC,OP-ESX-IXN035,No,DOP-ESX-IXN035
12.06.2023 09:57:56:783 ,DOP-BCK-CYO004-new,,N/A,DOP-BCK-CYO004-new
12.06.2023 09:57:56:793 ,orarac04p-DSSC,orarac04p,Yes,orarac04p
12.06.2023 09:57:56:805 ,DOP-ESX-IXN018-DSSC,OP-ESX-IXN018,No,DOP-ESX-IXN018
12.06.2023 09:57:56:815 ,orarac04i-DSSC,orarac04i,Yes,orarac04i
12.06.2023 09:57:56:824 ,GTD-ESX-IXN005-DSSC,GTD-ESX-IXN005,Yes,GTD-ESX-IXN005
12.06.2023 09:57:56:833 ,ce-esx-ze-as36-07-DSSC,ce-esx-ze-as36-07,Yes,ce-esx-ze-as36-07
12.06.2023 09:57:56:843 ,DOP-ESX-IXN043-DSSC,OP-ESX-IXN043,No,DOP-ESX-IXN043
12.06.2023 09:57:56:852 ,DOP-BCK-IXN004-new,,N/A,DOP-BCK-IXN004-new
12.06.2023 09:57:56:861 ,ce-esx-05-DSSC,ce-esx-05,Yes,ce-esx-05
12.06.2023 09:57:56:869 ,DOP-ESX-CYO031-DSSC,OP-ESX-CYO031,No,DOP-ESX-CYO031
12.06.2023 09:57:56:879 ,ce-esx-fra16-5106-13-DSSC,ce-esx-fra16-5106-13,Yes,ce-esx-fra16-5106-13
12.06.2023 09:57:56:888 ,DOP-ESX-IXN017-DSSC,OP-ESX-IXN017,No,DOP-ESX-IXN017
12.06.2023 09:57:56:896 ,DOP-ESX-CYO034-DSSC,OP-ESX-CYO034,No,DOP-ESX-CYO034
12.06.2023 09:57:56:906 ,ce-esx-ze-aw32-02-DSSC,ce-esx-ze-aw32-02,Yes,ce-esx-ze-aw32-02
12.06.2023 09:57:56:917 ,DOP-ESX-CYO027-DSSC,OP-ESX-CYO027,No,DOP-ESX-CYO027
12.06.2023 09:57:56:930 ,DOP-ESX-IXN037-DSSC,OP-ESX-IXN037,No,DOP-ESX-IXN037
12.06.2023 09:57:56:943 ,ce-esx-ze-as33-07-DSSC,ce-esx-ze-as33-07,Yes,ce-esx-ze-as33-07
12.06.2023 09:57:56:954 ,ce-esx-fra16-5105-10,,N/A,ce-esx-fra16-5105-10
12.06.2023 09:57:56:964 ,DOP-ESX-CYO026-DSSC,OP-ESX-CYO026,No,DOP-ESX-CYO026
12.06.2023 09:57:56:973 ,DOP-ESX-IXN046-new,,N/A,DOP-ESX-IXN046-new
12.06.2023 09:57:56:982 ,DOP-ESX-IXN020-DSSC,OP-ESX-IXN020,No,DOP-ESX-IXN020
12.06.2023 09:57:56:991 ,ce-esx-11-DSSC,ce-esx-11,Yes,ce-esx-11
12.06.2023 09:57:57:003 ,ce-esx-30-DSSC,ce-esx-30,Yes,ce-esx-30
12.06.2023 09:57:57:011 ,DOP-BCK-IXN001-DSSC,OP-BCK-IXN001,No,DOP-BCK-IXN001
12.06.2023 09:57:57:018 ,ce-esx-fra6-2tb3-10-DSSC,ce-esx-fra6-2tb3-10,Yes,ce-esx-fra6-2tb3-10
12.06.2023 09:57:57:028 ,ce-esx-fra16-5105-11-DSSC,ce-esx-fra16-5105-11,Yes,ce-esx-fra16-5105-11
