 OP-ESX-IXN022, DOP-ESX-IXN022
 OP-ESX-IXN024, DOP-ESX-IXN024
 OP-ESX-IXN030, DOP-ESX-IXN030
 OP-ESX-IXN029, DOP-ESX-IXN029
 OP-ESX-CYO011, DOP-ESX-CYO011
 OP-ESX-CYO017, DOP-ESX-CYO017
 OP-ESX-IXN038, DOP-ESX-IXN038
 IN-ESX-CYO02, SIN-ESX-CYO02
 OP-ESX-IXN039, DOP-ESX-IXN039
 OP-ESX-CYO039, DOP-ESX-CYO039
 OP-ESX-IXN021, DOP-ESX-IXN021
 OP-ESX-CYO038, DOP-ESX-CYO038
 OP-ESX-CYO010, DOP-ESX-CYO010
 OP-ESX-IXN035, DOP-ESX-IXN035
 OP-ESX-IXN018, DOP-ESX-IXN018
 OP-ESX-IXN043, DOP-ESX-IXN043
 OP-ESX-CYO031, DOP-ESX-CYO031
 OP-ESX-IXN017, DOP-ESX-IXN017
 OP-ESX-CYO034, DOP-ESX-CYO034
 OP-ESX-CYO027, DOP-ESX-CYO027
 OP-ESX-IXN037, DOP-ESX-IXN037
 OP-ESX-CYO026, DOP-ESX-CYO026
 OP-ESX-IXN020, DOP-ESX-IXN020
 OP-BCK-IXN001, DOP-BCK-IXN001
 OP-ESX-CYO021, DOP-ESX-CYO021
 OP-ESX-CYO019, DOP-ESX-CYO019
 OP-ESX-CYO029, DOP-ESX-CYO029
 LR-ESX-CYO02, DLR-ESX-CYO02
 OP-ESX-CYO023, DOP-ESX-CYO023
 OP-ESX-IXN041, DOP-ESX-IXN041
 OP-ESX-IXN032, DOP-ESX-IXN032
 IN-ESX-IXN02, SIN-ESX-IXN02
 OP-ESX-IXN015, DOP-ESX-IXN015
 OP-ESX-CYO004, DOP-ESX-CYO004
 OP-ESX-IXN012, DOP-ESX-IXN012
 OP-ESX-CYO044, DOP-ESX-CYO044
 OP-ESX-CYO042, DOP-ESX-CYO042
 OP-ESX-IXN025, DOP-ESX-IXN025
 OP-ESX-CYO016, DOP-ESX-CYO016
 OP-ESX-CYO037, DOP-ESX-CYO037
 OP-ESX-CYO013, DOP-ESX-CYO013
OP-ESX-IXN002, DOP-ESX-IXN002
LR-ESX-IXN02, DLR-ESX-IXN02
OP-ESX-CYO002, DOP-ESX-CYO002
OP-ESX-CYO003, DOP-ESX-CYO003
LAB-ESX-WORKLOA, LAB-ESX-WORKLOAD
OP-ESX-IXN023, DOP-ESX-IXN023
IN-ESX-IXN01, SIN-ESX-IXN01
OP-ESX-IXN036, DOP-ESX-IXN036
OP-ESX-IXN004, DOP-ESX-IXN004
OP-ESX-IXN034, DOP-ESX-IXN034
OP-ESX-IXN027, DOP-ESX-IXN027
OP-ESX-IXN001, DOP-ESX-IXN001
ummyHost, DummyHost
OP-ESX-CYO018, DOP-ESX-CYO018
LR-ESX-IXN01, DLR-ESX-IXN01
OP-ESX-IXN026, DOP-ESX-IXN026
OP-ESX-CYO024, DOP-ESX-CYO024
OP-ESX-IXN028, DOP-ESX-IXN028
OP-ESX-CYO036, DOP-ESX-CYO036
OP-ESX-CYO043, DOP-ESX-CYO043
OP-ESX-IXN033, DOP-ESX-IXN033
OP-ESX-IXN031, DOP-ESX-IXN031
OP-ESX-CYO020, DOP-ESX-CYO020
OP-ESX-CYO012, DOP-ESX-CYO012
OP-ESX-IXN047, DOP-ESX-IXN047
OP-ESX-IXN009, DOP-ESX-IXN009
IN-ESX-CYO01, SIN-ESX-CYO01
OP-ESX-CYO030, DOP-ESX-CYO030
OP-ESX-CYO045, DOP-ESX-CYO045
OP-ESX-CYO022, DOP-ESX-CYO022
OP-ESX-CYO032, DOP-ESX-CYO032
OP-ESX-IXN016, DOP-ESX-IXN016
OP-ESX-IXN010, DOP-ESX-IXN010
OP-ESX-IXN019, DOP-ESX-IXN019
LR-ESX-CYO01, DLR-ESX-CYO01
OP-ESX-IXN044, DOP-ESX-IXN044
OP-ESX-CYO028, DOP-ESX-CYO028
OP-ESX-CYO009, DOP-ESX-CYO009
OP-ESX-IXN011, DOP-ESX-IXN011
OP-ESX-CYO025, DOP-ESX-CYO025
OP-ESX-IXN042, DOP-ESX-IXN042
OP-ESX-CYO035, DOP-ESX-CYO035
OP-ESX-CYO033, DOP-ESX-CYO033
OP-ESX-IXN013, DOP-ESX-IXN013
OP-ESX-CYO015, DOP-ESX-CYO015
OP-ESX-CYO001, DOP-ESX-CYO001
OP-ESX-CYO041, DOP-ESX-CYO041
OP-ESX-IXN003, DOP-ESX-IXN003
